Read_Length,QV,Read_Numbers
12600,79,18
12600,80,18
12600,81,21
12600,82,41
12600,83,27
12600,84,26
12600,85,45
12600,86,49
12600,87,51
12600,88,59
12600,89,71
12600,90,95
12600,91,136
12600,92,394
12600,93,235
12700,41,1
12700,42,2
12700,43,3
12700,44,8
12700,45,5
12700,46,9
12700,47,19
12700,48,9
12700,49,17
12700,50,14
12700,51,11
12700,52,11
12700,53,7
12700,54,9
12700,55,8
12700,56,20
12700,57,14
12700,58,14
12700,59,20
12700,60,8
12700,61,18
12700,62,17
12700,63,12
12700,64,16
12700,65,13
12700,66,25
12700,67,15
12700,68,18
12700,69,22
12700,70,15
